F1_Delta,F2_Delta,F3_Delta,F4_Delta,F1_Theta,F2_Theta,F3_Theta,F4_Theta,F1_Alpha,F2_Alpha,F3_Alpha,F4_Alpha,F1_Beta,F2_Beta,F3_Beta,F4_Beta,Frontal_Alpha_Asymmetry,F1_Activity,F1_Mobility,F1_Complexity,F2_Activity,F2_Mobility,F2_Complexity,F3_Activity,F3_Mobility,F3_Complexity,F4_Activity,F4_Mobility,F4_Complexity,Subject,Stimulus,Genre,Song,Ensemble,Instruments,Theme,Spatial,Target_Instrument,Tempo,Key,Spectral_Centroid,Spectral_Bandwidth,Spectral_Contrast,Spectral_Rolloff,MFCC_1_Mean,MFCC_1_Std,MFCC_2_Mean,MFCC_2_Std,MFCC_3_Mean,MFCC_3_Std,MFCC_4_Mean,MFCC_4_Std,MFCC_5_Mean,MFCC_5_Std,MFCC_6_Mean,MFCC_6_Std,MFCC_7_Mean,MFCC_7_Std,MFCC_8_Mean,MFCC_8_Std,MFCC_9_Mean,MFCC_9_Std,MFCC_10_Mean,MFCC_10_Std,MFCC_11_Mean,MFCC_11_Std,MFCC_12_Mean,MFCC_12_Std,MFCC_13_Mean,MFCC_13_Std,Chroma_0,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Attention_Label
2.5729782371069864e-11,2.0631027840737898e-11,2.928527657133964e-11,1.933909699371028e-11,2.572836927228529e-12,2.391441912384867e-12,2.0190489319871403e-12,2.1768998983022317e-12,1.375157462316365e-12,1.2503544419058426e-12,1.1606749894376478e-12,1.1177601277338084e-12,3.7649916453597435e-13,3.7284221697011434e-13,3.762515218205298e-13,4.135508085160009e-13,1.2480302041052243e-13,1.3132143303183987e-10,0.16352039631638834,4.021793591857097,1.106922320404888e-10,0.17022767488360996,3.808005327809055,1.3788425592947695e-10,0.17237667558708442,4.081568096289691,1.0564666807860574e-10,0.2041992339800112,3.5174454402413184,0001,classique_morceau1_duo_CoFl_theme1_stereo_Co,classique,morceau1,duo,"['Co', 'Fl']",theme1,stereo,Co,[93.96306818],B minor,1946.9629192900863,2218.286590375565,22.828299272833473,2757.2498833955224,-312.70102,39.77267,162.43999,22.712013,-29.71601,18.090145,19.553986,14.275002,2.8619003,10.942827,24.716522,8.746827,-9.103024,7.916346,-15.591623,5.3658333,-4.9286566,7.7387505,7.833045,7.6091046,3.9299576,8.586371,-21.402697,8.378583,-10.948647,9.359179,0.4460446,0.23329547,0.45552793,0.48191363,0.08946796,0.06059595,0.21524288,0.09491646,0.051750228,0.17215696,0.14541465,0.43255186,High Attention
6.633330314244624e-12,5.645597133395373e-12,6.250162521086119e-12,3.742947071491377e-12,2.5390543900682733e-12,2.35625913709928e-12,1.7635791691618771e-12,1.7934390530377848e-12,1.7303526577673735e-12,1.6958828749628547e-12,1.6647727019469408e-12,1.2966617931052423e-12,4.066062959444322e-13,3.8752251515272424e-13,3.360457815768724e-13,3.8398185937328557e-13,3.4469782804518777e-14,5.2089732023498274e-11,0.23259347406563569,2.6269394694616603,4.8539819602214156e-11,0.2350688311939609,2.586454984464391,4.356257497414179e-11,0.23648268073164397,2.6613219375018797,4.328404855257625e-11,0.26114350399475356,2.506480662959801,0001,classique_morceau1_duo_CoFl_theme1_stereo_Fl,classique,morceau1,duo,"['Co', 'Fl']",theme1,stereo,Fl,[93.96306818],B minor,1946.9629192900863,2218.286590375565,22.828299272833473,2757.2498833955224,-312.70102,39.77267,162.43999,22.712013,-29.71601,18.090145,19.553986,14.275002,2.8619003,10.942827,24.716522,8.746827,-9.103024,7.916346,-15.591623,5.3658333,-4.9286566,7.7387505,7.833045,7.6091046,3.9299576,8.586371,-21.402697,8.378583,-10.948647,9.359179,0.4460446,0.23329547,0.45552793,0.48191363,0.08946796,0.06059595,0.21524288,0.09491646,0.051750228,0.17215696,0.14541465,0.43255186,High Attention
3.671180283655643e-11,3.53506054056237e-11,3.9802715811951336e-11,3.2108921401483875e-11,3.868849201365415e-12,3.5210658348079525e-12,3.3528300607398687e-12,2.8504338255740845e-12,2.912221482332706e-12,2.524610146466619e-12,2.9858226404417796e-12,2.208963610704554e-12,9.093524562023552e-13,7.103053104604499e-13,1.6532440478684237e-12,8.018527841394835e-13,3.87611335866087e-13,1.7432972192772265e-10,0.29737003878309753,2.709610513059268,1.5073490494423558e-10,0.23360549013350573,3.236839936970326,2.338713041639058e-10,0.43110919364239375,1.9603033515049069,1.4073763047405696e-10,0.27451740785456374,2.8236186160676535,0001,classique_morceau1_duo_CoOb_theme1_stereo_Co,classique,morceau1,duo,"['Co', 'Ob']",theme1,stereo,Co,[147.65625],B minor,1836.604127110914,2028.0198308726804,26.173765135162565,3461.346344449627,-297.41318,35.213524,169.9332,22.09227,-36.473976,19.141474,21.753021,10.9830265,0.4418103,7.6223497,-5.189664,9.360837,-8.421221,9.900486,-1.2218032,9.94437,-13.959453,6.797969,1.6861221,7.4737053,5.5890303,10.637752,7.563755,13.561514,8.972999,11.562012,0.13594364,0.224067,0.3465045,0.19663128,0.069634564,0.12593882,0.6900713,0.26920658,0.05802991,0.19392526,0.16436397,0.300139,High Attention
2.7029779427265777e-11,2.368877712145911e-11,2.5970557759097076e-11,2.052042013994477e-11,3.534453967377584e-12,2.8820216218319395e-12,2.546853587742969e-12,2.3494464932128056e-12,2.0247143936936734e-12,1.7074414820743585e-12,1.7098790955490339e-12,1.4280162666908852e-12,4.54960192377988e-13,4.110240946814635e-13,3.8908794303182263e-13,3.9113977516274865e-13,3.1727291161931496e-13,1.3150998748271243e-10,0.15482844063315399,3.7725331757134333,1.1583382654872817e-10,0.15524607787637515,3.675609639104879,1.211450931326911e-10,0.15409741314177972,3.9756839874416365,1.0227632196479142e-10,0.16149697244896136,3.6745165692272748,0001,classique_morceau1_duo_CoOb_theme2_stereo_Ob,classique,morceau1,duo,"['Co', 'Ob']",theme2,stereo,Ob,[132.51201923],D major,1238.1858779283607,1963.1382698618304,22.902031450518216,1951.1914251390233,-243.93481,38.333527,198.0165,13.132923,-22.508984,12.708927,1.5981029,8.293583,1.1548461,9.113388,9.82718,7.511211,-2.9925406,8.288111,-3.3348496,5.703029,-10.17811,5.3673787,-6.877618,6.923497,-7.593941,5.97941,-10.69416,5.630042,-10.780204,7.254304,0.104952015,0.18454377,0.84311235,0.38767186,0.22355564,0.12684746,0.33506015,0.12136854,0.19700697,0.31253254,0.09816692,0.08509455,High Attention
7.37387261717702e-12,6.284115156371379e-12,6.841566702840467e-12,7.365521852632721e-12,3.1415314285676165e-12,2.9166741169934837e-12,2.377187269543332e-12,2.3448473744825946e-12,1.99284890591814e-12,1.8075090662233987e-12,1.5391771093978938e-12,1.5326729716483696e-12,4.2970129480151147e-13,3.862838694254707e-13,3.9567337437239463e-13,3.7376636191012147e-13,1.853398396947414e-13,6.829754291683031e-11,0.20914483918625432,2.7837127633738747,6.030996410823171e-11,0.21364634198540386,2.72617334680825,5.937759944749885e-11,0.21417562647633723,2.804974404285862,5.712452749767298e-11,0.21415401293150826,2.8238975683289373,0001,classique_morceau1_duo_FlOb_theme1_stereo_Fl,classique,morceau1,duo,"['Fl', 'Ob']",theme1,stereo,Fl,[93.96306818],C minor,2344.326390945544,2072.4695060321164,28.26154434198636,3798.34275886194,-319.0161,42.290688,80.53162,28.64499,-91.60445,15.791141,-2.2981699,12.715038,-12.99707,11.734905,-12.09673,10.965338,-11.133016,7.90648,-6.0503592,9.049709,-15.444487,6.5993733,13.828983,13.24323,23.511126,18.91635,20.298096,19.547531,28.969604,19.227354,0.11960696,0.13948141,0.13852137,0.09724683,0.04960584,0.112025745,0.712078,0.24519661,0.040920027,0.12836406,0.12115939,0.16737969,High Attention
6.083549073778047e-12,5.017869825364522e-12,5.297634351487398e-12,4.0526168611904095e-12,2.4156578882540723e-12,2.4127782351140694e-12,1.8230783873537557e-12,1.862843468440856e-12,1.7838081562571904e-12,1.7235148622166244e-12,1.527468120367897e-12,1.325885935627285e-12,4.771537298548368e-13,4.69170887373203e-13,4.104906263927456e-13,4.326613248509542e-13,6.029329404056599e-14,5.321606545532931e-11,0.24883026928917423,2.3748445241629597,4.733272877828243e-11,0.25335033861487194,2.28850968295758,4.320620918674131e-11,0.2582754016199302,2.3322603041899126,4.199932560584761e-11,0.26352186150857665,2.2566491424703146,0001,classique_morceau1_duo_FlOb_theme2_stereo_Ob,classique,morceau1,duo,"['Fl', 'Ob']",theme2,stereo,Ob,[172.265625],G major,2350.3366562032584,2185.453957899943,22.70443463666917,3107.112095019342,-345.91653,38.785007,89.43567,17.011118,-77.222015,16.316883,-28.236856,13.015828,-22.226412,13.036142,6.9629927,11.120687,7.3285594,8.307259,-0.25930986,8.353806,-9.989953,12.872693,-0.8136881,13.982647,22.117577,11.562861,19.294998,11.137682,9.283851,13.778179,0.12598374,0.04499851,0.04651109,0.045114513,0.2316445,0.09664747,0.16786191,0.1447425,0.085959084,0.71597356,0.36338195,0.15570946,High Attention
1.180442882025633e-11,1.0758422489201332e-11,1.188438298576727e-11,8.38112681378569e-12,3.3096722136834414e-12,3.1782801895205576e-12,2.428592805596915e-12,2.4527844837900353e-12,1.7758532218336372e-12,1.7351203213708498e-12,1.5016043499141258e-12,1.4421314434303945e-12,4.568555450606463e-13,4.534132961344343e-13,4.281672844400745e-13,4.078789391733352e-13,4.0732900462787385e-14,7.180752870751326e-11,0.211076949704307,2.8372575570802274,6.679688318121765e-11,0.21258869885573434,2.7709547095761167,6.303911248697793e-11,0.21302528181600996,2.8380286844964835,5.1772627542520096e-11,0.22897625871834446,2.617343192836732,0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,classique,morceau1,trio,"['Co', 'Fl', 'Ob']",theme1,stereo,Co,[147.65625],B minor,1969.5728841604248,2061.111948578887,25.079000470630948,3390.3189132462685,-267.88538,36.20029,167.45114,20.013353,-51.95094,16.463593,25.95363,11.613908,1.1339138,7.947885,3.2890928,8.625452,-12.349865,8.989441,-6.707109,8.800528,-14.519915,7.612411,8.465344,8.263809,9.277395,12.390636,-2.5894911,12.064592,2.5419376,12.724598,0.26899618,0.21385089,0.43308607,0.2976514,0.06267065,0.10979566,0.64150226,0.25894427,0.052122023,0.18385528,0.16113159,0.40059713,High Attention
1.9527837306590282e-11,2.272014223096046e-11,1.9004467449047454e-11,2.2479038806067748e-11,3.7854490810743036e-12,3.996968429728123e-12,3.3661218856739565e-12,3.7259831761505065e-12,1.8167038325597576e-12,1.8151766972585246e-12,1.6629649648364167e-12,1.6120705555349596e-12,4.850741101357221e-13,4.782496926205591e-13,5.448041369768454e-13,4.906974077431679e-13,1.5271353012330234e-15,1.0031268284238798e-10,0.20412729576867036,3.218566146897869,1.1392323700087014e-10,0.18054735468254843,3.529776615698074,9.898899425349211e-11,0.25915990006924555,2.8670194831053903,1.1278535612662757e-10,0.21597128205164667,3.37989713826102,0001,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,classique,morceau1,trio,"['Co', 'Fl', 'Ob']",theme1,stereo,Ob,[147.65625],B minor,1969.5728841604248,2061.111948578887,25.079000470630948,3390.3189132462685,-267.88538,36.20029,167.45114,20.013353,-51.95094,16.463593,25.95363,11.613908,1.1339138,7.947885,3.2890928,8.625452,-12.349865,8.989441,-6.707109,8.800528,-14.519915,7.612411,8.465344,8.263809,9.277395,12.390636,-2.5894911,12.064592,2.5419376,12.724598,0.26899618,0.21385089,0.43308607,0.2976514,0.06267065,0.10979566,0.64150226,0.25894427,0.052122023,0.18385528,0.16113159,0.40059713,High Attention
1.0744671892398854e-11,9.282577105069041e-12,8.650372756055916e-12,8.492012493277283e-12,3.700082252227475e-12,3.138891240020863e-12,2.709875754500618e-12,2.4696004992650054e-12,1.7046875362640802e-12,1.5823276809871963e-12,1.329454303757641e-12,1.4640112365203395e-12,5.191391148628785e-13,4.4645362898709573e-13,4.012972217186556e-13,4.3812059609549955e-13,1.2235985527688382e-13,9.551788752927679e-11,0.18477688853593022,3.2711808674715535,9.323716260290807e-11,0.17552578191234242,3.351521107406997,8.3413634092532e-11,0.18887564066816556,3.438601898312336,8.71835307021496e-11,0.17972359642858501,3.36418385603094,0001,classique_morceau1_trio_CoFlOb_theme2_stereo_Fl,classique,morceau1,trio,"['Co', 'Fl', 'Ob']",theme2,stereo,Fl,[120.18531977],D major,1612.2043083685871,2012.845540739316,24.105240314546187,2150.862945025387,-267.883,33.534397,180.52083,15.576078,-34.63084,11.685859,1.3223697,9.430684,-5.7539964,8.464157,17.75688,9.770558,1.2729788,7.3678317,-6.507513,6.24276,-15.60262,7.1545634,-9.765301,7.9528656,1.5400103,7.10398,-5.939035,6.711452,-13.065419,7.3770227,0.081888296,0.10200047,0.6383052,0.2676705,0.18320377,0.0784862,0.26285094,0.08965546,0.17647211,0.6136364,0.16900711,0.1037077,High Attention
1.0904245257237566e-11,9.655375935884263e-12,9.062943516524175e-12,8.125463940886806e-12,2.989974532220335e-12,2.8645885726059095e-12,2.3538571799276133e-12,2.2306853871531426e-12,2.2573734940943772e-12,2.178802909712479e-12,1.8514643119085803e-12,1.857268417640014e-12,4.682036387344969e-13,4.652973029249172e-13,4.295109252986573e-13,4.575849029690814e-13,7.857058438189833e-14,1.0126373030426005e-10,0.1979673295677857,3.113863502474356,8.613563056477696e-11,0.20011443626335534,3.0504154924526667,1.031895085525716e-10,0.18265994590210732,3.3972999699099766,8.482790762373133e-11,0.20205186400686648,3.1007943546906005,0001,classique_morceau2_duo_BoFh_theme1_stereo_Fh,classique,morceau2,duo,"['Bo', 'Fh']",theme1,stereo,Fh,[112.34714674],E minor,671.2952554216578,978.9394794388973,23.719104697063532,838.2122106201645,-424.83694,43.325047,178.09807,29.397926,53.529922,22.529438,-10.993475,16.109482,-23.77728,8.226216,-21.085033,7.6106305,-16.228338,6.730696,-12.858164,4.513608,-15.511704,7.818395,-22.984964,6.0429544,-21.382948,6.315384,-12.486079,4.719995,-11.0833025,4.712302,0.05275359,0.111459106,0.24684054,0.16050756,0.59911937,0.12474366,0.13027339,0.1136349,0.08306052,0.10399291,0.055934787,0.12764935,High Attention
