EEG Fp1_Delta,EEG Fp2_Delta,EEG F7_Delta,EEG F8_Delta,EEG Fp1_Theta,EEG Fp2_Theta,EEG F7_Theta,EEG F8_Theta,EEG Fp1_Alpha,EEG Fp2_Alpha,EEG F7_Alpha,EEG F8_Alpha,EEG Fp1_Beta,EEG Fp2_Beta,EEG F7_Beta,EEG F8_Beta,Frontal_Alpha_Asymmetry,EEG Fp1_Activity,EEG Fp1_Mobility,EEG Fp1_Complexity,EEG Fp2_Activity,EEG Fp2_Mobility,EEG Fp2_Complexity,EEG F7_Activity,EEG F7_Mobility,EEG F7_Complexity,EEG F8_Activity,EEG F8_Mobility,EEG F8_Complexity,Subject,Session,Attention_Label,Quality
5.6973631628147564e-12,7.812101723738253e-12,2.041752656913323e-11,8.97824282002534e-12,2.0580179507230586e-12,2.7157156664345706e-12,3.375844462826926e-12,2.5911436789213772e-12,2.25664678313785e-12,3.3832091942578544e-12,3.1268963925490227e-12,2.71417198420759e-12,2.0475583173591115e-13,3.620012630251177e-13,8.293441158854363e-13,5.748861430539337e-13,-1.1265624111200044e-12,4.9911962744347354e-11,0.11690086884812809,2.4493436071616634,6.872388595487547e-11,0.1324573835312909,2.3535491857731916,1.285837407819018e-10,0.11785495817782836,2.501386115219198,1.3349006176242785e-10,0.10670287916592658,2.8795858702303403,Subject00,1,Low Attention,Bad Quality
5.517661585474855e-12,8.551048216156327e-12,8.351924358641e-12,2.0802118665519484e-11,1.5468624564303548e-12,1.9645855993437195e-12,3.761699291923612e-12,2.9401435788317006e-12,4.432099503637117e-12,4.680549831356358e-12,4.591366277710426e-12,4.748423334420839e-12,6.078022718657351e-13,6.980563317615938e-13,8.883885545998503e-13,7.129674289630324e-13,-2.4845032771924116e-13,5.2201863605095666e-11,0.1604786493775885,1.8185748823566668,7.493656961492221e-11,0.15693158031554724,1.945550396015787,1.1885018179295423e-10,0.13141937318667807,2.3087402487809197,1.763153570743754e-10,0.11178065549772276,2.825952214249377,Subject00,1,Low Attention,Bad Quality
2.6783171939332997e-12,2.440053089476588e-12,1.1194251547926e-11,5.183056527467604e-12,1.3064572964194111e-12,1.989617722597949e-12,2.8171070520788085e-12,3.3410143696326744e-12,6.063954853162091e-12,9.080416900296699e-12,6.1894446813664685e-12,1.0570149988564995e-11,7.799514126111384e-13,1.013842699264986e-12,1.0774874992591815e-12,1.2348566516398663e-12,-3.016462047134608e-12,6.614762505126434e-11,0.16270188997324242,1.6707445040086646,1.0569878773079608e-10,0.14917661284536327,1.8190996505533736,3.023578479237926e-10,0.09135680946267574,3.279812615501297,1.177967369101055e-10,0.16327714979444,1.680378280878853,Subject00,1,Low Attention,Bad Quality
6.908708434534556e-12,1.1514351535120359e-11,1.882109707073895e-11,1.3667685327143944e-11,2.2962319264276787e-12,3.183577682659625e-12,3.793044169733681e-12,1.990748287416234e-12,5.469547672905194e-12,7.516757989720353e-12,3.307335537662759e-12,7.415735542132382e-12,1.1786858313913583e-12,1.6848941199578891e-12,1.0664305016110823e-12,1.673613361440162e-12,-2.0472103168151592e-12,1.0566573563860232e-10,0.1442993240144617,1.6276098247499609,1.6687801922897204e-10,0.145222887176191,1.6896779918347022,2.1199853808783256e-10,0.09945701123140596,2.77670039780831,1.794197498520299e-10,0.14053068937659632,1.814532672284217,Subject00,1,Low Attention,Bad Quality
4.3151264534880255e-12,4.610514968395229e-12,9.795032896825164e-12,7.488518711093422e-12,2.401235804828611e-12,3.4638475219705736e-12,4.234773355694421e-12,3.096012578019213e-12,1.1822655536704775e-11,1.3935127638830101e-11,1.1401877285008177e-11,1.2025297968204317e-11,7.050590358101183e-13,8.782446926914797e-13,7.083756755828152e-13,8.147700836144542e-13,-2.112472102125326e-12,8.694372602465737e-11,0.149958639235971,1.6189827017497607,1.2301811461697868e-10,0.14841013091987704,1.7395199951771771,2.0613647957728303e-10,0.110283784361481,2.527873316248616,1.2750115017725157e-10,0.1487799172707992,1.8107971010785495,Subject00,1,Low Attention,Bad Quality
6.062228382777864e-12,6.302454750235854e-12,1.7509119238425763e-11,1.2369925996281617e-11,1.7581618025053195e-12,1.977396840398529e-12,3.3062009160778073e-12,2.088604430335272e-12,1.0028996876393563e-11,1.042980348784457e-11,9.98346875272403e-12,8.952007672605013e-12,9.186816758880447e-13,1.1495088699388261e-12,9.432688678055448e-13,1.4290892354352333e-12,-4.008066114510072e-13,7.814080126418615e-11,0.1459338866715424,1.749911132269586,9.068959262822401e-11,0.16024589430591,1.7589402336331217,1.5813192445389993e-10,0.12191167499589406,2.3584176408499693,1.4112649071383757e-10,0.14038548285094787,2.079935680002474,Subject00,1,Low Attention,Bad Quality
1.8344107372222413e-11,5.682988207009858e-12,1.4990914235088358e-11,6.573940537210792e-12,3.339236596446905e-12,3.650579227972873e-12,3.0994318063759947e-12,6.745388841344964e-12,6.724731680994551e-12,8.209954168715025e-12,7.70903842198203e-12,7.538430903840609e-12,1.1445687014570757e-12,1.428846822873295e-12,1.3978490434913895e-12,2.306095384542474e-12,-1.4852224877204742e-12,1.494012033272651e-10,0.12376282446526407,2.0711789238640126,1.4774199996293211e-10,0.14217800332111682,1.9326282206223004,1.7294307272498055e-10,0.1269310336012696,2.196689230609681,2.1984656343395367e-10,0.12669149126018453,2.0743604711561248,Subject00,1,Low Attention,Bad Quality
2.5206512962277972e-12,3.812517530058393e-12,9.739136183962138e-12,7.91497064342923e-12,3.642546644881727e-12,4.255564215621579e-12,4.62641173260226e-12,5.426541018150192e-12,1.0610797503994686e-11,1.2376205464620597e-11,1.1625750891528115e-11,1.2183470572905609e-11,9.95543458670127e-13,1.2603775893236244e-12,1.7681499172604792e-12,1.6732400584344106e-12,-1.7654079606259115e-12,5.826304125147726e-11,0.15668841614556941,1.6413085659396036,8.06563579142581e-11,0.1636289722271215,1.7355599831208268,1.3834599914695576e-10,0.12635276979923898,2.20091054554269,1.3339496537752227e-10,0.14493687582286388,1.9468619538173442,Subject00,1,Low Attention,Bad Quality
4.097605480545025e-12,4.26197492510636e-12,1.6720788509352338e-11,8.189406063163178e-12,6.3515728499588665e-12,9.613913353488043e-12,7.358065212293715e-12,9.153191500474963e-12,1.7783686686879563e-11,2.5184164550940093e-11,2.2357268651892353e-11,1.9295828677472783e-11,6.916115864649797e-13,8.639030693250801e-13,1.3712842431653429e-12,8.018960914992247e-13,-7.40047786406053e-12,9.766025450305526e-11,0.14059007577527752,1.638437847131285,1.251583587308458e-10,0.14505652352391246,1.767086116597012,1.9525654026627624e-10,0.1326839764078448,1.8268147551745997,1.3634108403931545e-10,0.13568519840526003,1.9290565977642748,Subject00,1,Low Attention,Bad Quality
2.125782425817123e-12,4.079221063143313e-12,9.200562443412416e-12,2.7980939548568694e-12,7.326781879809104e-13,1.1366290667257467e-12,5.078618476043465e-12,1.6089163803990255e-12,8.585254633136019e-12,9.632903533042084e-12,6.395137258931742e-12,7.182449094739746e-12,4.312848363434508e-13,7.227629828838914e-13,1.05573343362802e-12,1.0775602102602843e-12,-1.0476488999060654e-12,6.247019667823891e-11,0.14982723442758414,1.7302168711217274,7.652844555378935e-11,0.16407993108016714,1.7494155912060754,1.4854593376248864e-10,0.13061037875500944,2.083309603417319,8.869675505104654e-11,0.15599825715884935,1.8255575379140574,Subject00,1,Low Attention,Bad Quality
